Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	1	0	0	0
Mar 04 2020	3	0	2	0
Mar 05 2020	4	0	1	0
Mar 06 2020	5	0	1	0
Mar 07 2020	7	0	2	0
Mar 08 2020	11	0	4	0
Mar 09 2020	15	0	4	0
Mar 10 2020	20	0	5	0
Mar 11 2020	27	0	7	0
Mar 12 2020	39	0	12	0
Mar 13 2020	51	0	12	0
Mar 14 2020	72	0	21	0
Mar 15 2020	88	0	16	0
Mar 16 2020	183	0	95	0
Mar 17 2020	236	0	53	0
Mar 18 2020	279	0	43	0
Mar 19 2020	401	0	122	0
Mar 20 2020	503	0	108	6
Mar 21 2020	621	0	121	2
Mar 22 2020	732	0	111	0
Mar 23 2020	861	1	133	3
Mar 24 2020	1061	0	206	6
Mar 25 2020	1312	1	257	5
Mar 26 2020	1503	1	192	0
Mar 27 2020	1837	1	356	21
Mar 28 2020	2168	1	350	18
Mar 29 2020	2422	1	269	14
Mar 30 2020	2703	1	363	81
Mar 31 2020	3035	6	338	0
Apr 01 2020	3294	6	343	78
Apr 02 2020	3627	3	437	101
Apr 03 2020	3919	6	390	92
Apr 04 2020	4306	8	496	101
Apr 05 2020	4569	10	363	90
Apr 06 2020	4858	4	403	110
Apr 07 2020	5031	9	352	170
Apr 08 2020	5309	8	503	217
Apr 09 2020	5636	13	499	159
Apr 10 2020	5947	11	619	297
Apr 11 2020	6142	11	499	293
Apr 12 2020	6272	10	335	195
Apr 13 2020	6326	3	365	308
Apr 14 2020	6492	14	459	279
Apr 15 2020	6615	3	417	291
Apr 16 2020	6863	15	625	362
Apr 17 2020	7047	15	521	322
Apr 18 2020	7178	14	559	414
Apr 19 2020	7284	10	419	303
Apr 20 2020	7427	9	490	338
Apr 21 2020	7503	11	380	293
Apr 22 2020	7610	19	543	417
Apr 23 2020	7785	11	604	418
Apr 24 2020	7831	9	578	523
Apr 25 2020	8048	10	646	419
Apr 26 2020	8313	11	554	278
Apr 27 2020	8561	13	564	303
Apr 28 2020	8811	13	646	383
Apr 29 2020	9060	13	609	347
Apr 30 2020	9854	15	1332	523
May 01 2020	10559	10	1153	438
May 02 2020	11656	19	1670	554
May 03 2020	12605	19	1437	469
May 04 2020	13364	14	1147	374
May 05 2020	14668	8	1607	295
May 06 2020	15388	9	1208	479
May 07 2020	16701	6	1794	475
May 08 2020	17820	13	1628	496
May 09 2020	18758	14	1459	507
May 10 2020	20230	11	1928	445
May 11 2020	21123	15	1401	493
May 12 2020	22525	18	1940	520
May 13 2020	24884	15	3114	740
May 14 2020	27176	31	3113	790
May 15 2020	29110	36	2929	959
May 16 2020	29879	39	2208	1400
May 17 2020	31394	41	2755	1199
May 18 2020	33069	40	2667	952
May 19 2020	35804	44	4121	1342
May 20 2020	39484	50	4727	997
May 21 2020	42572	64	4640	1488
May 22 2020	46169	58	5005	1350
May 23 2020	49043	61	4139	1204
May 24 2020	51719	64	4342	1602
May 25 2020	56234	61	5730	1154
May 26 2020	59197	64	4640	1613
May 27 2020	61588	50	5066	2625
May 28 2020	64357	69	5448	2610
May 29 2020	66157	77	4325	2448
May 30 2020	69189	75	4940	1833
May 31 2020	72467	80	5654	2296
Jun 01 2020	76568	84	6404	2219
Jun 02 2020	80590	107	4129	0
Jun 03 2020	45025	123	5785	41227
Jun 04 2020	45795	115	5460	4575
Jun 05 2020	45707	130	4925	4883
Jun 06 2020	51716	132	6141	0
Jun 07 2020	58293	921	7498	0
Jun 08 2020	63685	105	5497	0
Jun 09 2020	68240	26	4581	0
Jun 10 2020	74684	272	6716	0
Jun 11 2020	50175	246	6550	30813
Jun 12 2020	52853	315	7907	4914
Jun 13 2020	54208	327	7620	5938
Jun 14 2020	55607	315	8122	6408
Jun 15 2020	56484	55	6020	5088
Jun 16 2020	54880	30	5866	7440
Jun 17 2020	59308	330	4758	0
Jun 18 2020	33254	321	4476	30209
Jun 19 2020	34138	357	6291	5050
Jun 20 2020	34089	287	5356	5118
Jun 21 2020	35476	261	5608	3960
Jun 22 2020	35224	33	4609	4828
Jun 23 2020	33852	4	3805	5173
Jun 24 2020	32658	321	3650	4523
Jun 25 2020	32828	245	4649	4234
Jun 26 2020	32786	235	4297	4104
Jun 27 2020	32173	396	4407	4624
Jun 28 2020	32005	230	4217	4155
Jun 29 2020	31985	94	4018	3944
Jun 30 2020	30144	161	3395	5075
Jul 01 2020	28488	93	2651	4214
Jul 02 2020	26946	237	2499	3804
Jul 03 2020	26213	186	3549	4096
Jul 04 2020	25669	201	3759	4102
Jul 05 2020	25604	164	3686	3587
Jul 06 2020	25183	108	3026	3339
Jul 07 2020	23701	71	2463	3874
Jul 08 2020	22110	197	2064	3458
Jul 09 2020	21871	154	3134	3219
Jul 10 2020	21659	140	3059	3131
Jul 11 2020	21212	142	2756	3061
Jul 12 2020	21298	139	3013	2788
Jul 13 2020	21197	64	2617	2654
Jul 14 2020	20305	64	1836	2664
Jul 15 2020	18986	166	1712	2865
Jul 16 2020	18116	148	2494	3216
Jul 17 2020	19322	123	2842	1513
Jul 18 2020	18872	123	2308	2635
Jul 19 2020	18538	73	2084	2345
Jul 20 2020	18276	163	2099	2198
Jul 21 2020	17051	55	1654	2824
Jul 22 2020	16289	56	1719	2425
Jul 23 2020	16311	146	2358	2190
Jul 24 2020	16497	95	2546	2265
Jul 25 2020	16180	133	2289	2473
Jul 26 2020	16337	115	2198	1926
Jul 27 2020	16517	94	2133	1859
Jul 28 2020	15950	66	1877	2378
Jul 29 2020	15452	48	1775	2225
Jul 30 2020	15218	124	1961	2071
Jul 31 2020	15550	100	2131	1699
Aug 01 2020	15266	95	1991	2180
Aug 02 2020	15341	94	2073	1904
Aug 03 2020	15414	124	1762	1565
Aug 04 2020	14481	48	1469	2354
Aug 05 2020	14222	59	1761	1961
Aug 06 2020	14171	122	1948	1877
Aug 07 2020	14238	87	2154	2000
Aug 08 2020	14405	66	2198	1965
Aug 09 2020	14662	83	2033	1693
Aug 10 2020	15056	78	1988	1516
Aug 11 2020	14380	49	1572	2199
Aug 12 2020	14020	34	1552	1878
Aug 13 2020	14056	118	1866	1712
Aug 14 2020	14176	51	2077	1906
Aug 15 2020	13984	69	1791	1914
Aug 16 2020	14080	71	2044	1877
Aug 17 2020	14002	77	1556	1557
Aug 18 2020	13259	41	1353	2055
Aug 19 2020	12556	40	1182	1845
Aug 20 2020	12473	117	1812	1778
Aug 21 2020	12494	65	1920	1834
Aug 22 2020	12513	87	1939	1833
Aug 23 2020	12946	75	1957	1449
Aug 24 2020	13484	80	1903	1285
Aug 25 2020	12849	53	1417	1999
Aug 26 2020	12384	40	1380	1805
Aug 27 2020	12364	103	1737	1654
Aug 28 2020	12629	75	1870	1530
Aug 29 2020	12874	61	2037	1731
Aug 30 2020	13359	79	1965	1401
Aug 31 2020	13760	56	1752	1295
Sep 01 2020	13228	40	1419	1911
Sep 02 2020	12900	29	1594	1893
Sep 03 2020	12838	98	1762	1726
Sep 04 2020	12873	90	1964	1839
Sep 05 2020	13052	71	1969	1719
Sep 06 2020	13645	51	2076	1432
Sep 07 2020	14016	75	1764	1318
Sep 08 2020	13232	38	1267	2013
Sep 09 2020	12868	25	1486	1825
Sep 10 2020	12616	99	1648	1801
Sep 11 2020	12681	87	1860	1708
Sep 12 2020	12901	56	2131	1855
Sep 13 2020	13508	68	2082	1407
Sep 14 2020	13728	80	1699	1399
Sep 15 2020	13011	34	1536	2219
Sep 16 2020	12383	23	1304	1909
Sep 17 2020	12066	105	1863	2075
Sep 18 2020	11619	71	1677	2053
Sep 19 2020	11277	69	1847	2120
Sep 20 2020	11192	40	1600	1645
Sep 21 2020	11006	15	1194	1365
Sep 22 2020	9967	29	1055	2065
Sep 23 2020	9328	30	1380	1989
Sep 24 2020	9204	156	1743	1711
Sep 25 2020	9651	73	2224	1704
Sep 26 2020	7292	80	2111	4390
Sep 27 2020	7722	63	1922	1429
Sep 28 2020	7308	71	1770	2113
Sep 29 2020	7139	34	1629	1764
Sep 30 2020	6968	20	1691	1842
Oct 01 2020	6925	102	1759	1700
Oct 02 2020	6870	56	1840	1839
Oct 03 2020	7284	65	1881	1402
Oct 04 2020	7752	75	1708	1165
Oct 05 2020	7265	73	1567	1981
Oct 06 2020	7204	41	1560	1580
Oct 07 2020	6877	25	1134	1436
Oct 08 2020	6739	97	1576	1617
Oct 09 2020	6761	66	1753	1665
Oct 10 2020	7247	65	1826	1275
Oct 11 2020	7872	58	1776	1093
Oct 12 2020	7674	77	1517	1638
Oct 13 2020	7426	21	1392	1619
Oct 14 2020	6936	24	1092	1558
Oct 15 2020	6454	24	1124	1582
Oct 16 2020	6498	119	1694	1531
Oct 17 2020	6900	74	1813	1337
Oct 18 2020	7565	59	1757	1033
Oct 19 2020	7794	51	1545	1265
Oct 20 2020	7093	33	1099	1767
Oct 21 2020	6618	21	1159	1613
Oct 22 2020	6503	92	1494	1517
Oct 23 2020	6793	65	1780	1425
Oct 24 2020	7099	60	1612	1246
Oct 25 2020	7451	65	1540	1123
Oct 26 2020	7214	74	1535	1698
Oct 27 2020	6631	29	927	1481
Oct 28 2020	6233	8	1005	1395
Oct 29 2020	6350	108	1520	1295
Oct 30 2020	6471	50	1521	1350
Oct 31 2020	6977	61	1685	1118
Nov 01 2020	7504	50	1608	1031
Nov 02 2020	7168	69	1324	1591
Nov 03 2020	6653	21	1014	1508
Nov 04 2020	5964	26	840	1503
Nov 05 2020	6206	80	1540	1218
Nov 06 2020	6635	58	1827	1340
Nov 07 2020	7088	61	1568	1054
Nov 08 2020	7535	55	1581	1079
Nov 09 2020	7073	56	1321	1727
Nov 10 2020	6599	29	1028	1473
Nov 11 2020	6155	28	897	1313
Nov 12 2020	6363	83	1634	1343
Nov 13 2020	6553	49	1592	1353
Nov 14 2020	6980	49	1646	1170
Nov 15 2020	7472	53	1597	1052
Nov 16 2020	7116	55	1331	1632
Nov 17 2020	6568	25	1006	1529
Nov 18 2020	6132	18	948	1366
Nov 19 2020	6194	73	1454	1319
Nov 20 2020	6375	60	1573	1332
Nov 21 2020	6749	34	1558	1150
Nov 22 2020	7170	49	1497	1027
Nov 23 2020	7007	46	1440	1557
Nov 24 2020	6590	31	1007	1393
Nov 25 2020	6185	9	1005	1401
Nov 26 2020	6256	122	1570	1377
Nov 27 2020	6277	54	1561	1486
Nov 28 2020	6800	55	1718	1140
Nov 29 2020	7176	43	1489	1070
