Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	0	0	0	0
Mar 04 2020	1	0	0	0
Mar 05 2020	1	0	0	0
Mar 06 2020	5	0	4	0
Mar 07 2020	6	0	1	0
Mar 08 2020	11	0	5	0
Mar 09 2020	17	0	6	0
Mar 10 2020	22	0	5	0
Mar 11 2020	31	0	9	0
Mar 12 2020	50	0	20	0
Mar 13 2020	66	1	17	0
Mar 14 2020	100	1	36	1
Mar 15 2020	121	0	21	0
Mar 16 2020	172	1	52	0
Mar 17 2020	232	1	61	0
Mar 18 2020	281	0	49	0
Mar 19 2020	349	0	68	0
Mar 20 2020	419	0	70	0
Mar 21 2020	530	0	111	0
Mar 22 2020	626	2	98	0
Mar 23 2020	740	1	115	0
Mar 24 2020	890	2	152	0
Mar 25 2020	1030	4	150	6
Mar 26 2020	1198	2	170	0
Mar 27 2020	1366	0	168	0
Mar 28 2020	1613	2	249	0
Mar 29 2020	1833	4	224	0
Mar 30 2020	2017	9	193	0
Mar 31 2020	2271	2	256	0
Apr 01 2020	2455	10	243	49
Apr 02 2020	2833	14	392	0
Apr 03 2020	3256	14	437	0
Apr 04 2020	3432	8	244	60
Apr 05 2020	3874	15	475	18
Apr 06 2020	4144	13	311	28
Apr 07 2020	4528	22	435	29
Apr 08 2020	4824	30	357	31
Apr 09 2020	5117	15	370	62
Apr 10 2020	5456	7	380	34
Apr 11 2020	5773	27	401	57
Apr 12 2020	6003	24	318	64
Apr 13 2020	6202	13	260	48
Apr 14 2020	6321	18	268	131
Apr 15 2020	6628	23	380	50
Apr 16 2020	6830	28	336	106
Apr 17 2020	7181	18	461	92
Apr 18 2020	7414	15	363	115
Apr 19 2020	7887	13	545	59
Apr 20 2020	8080	20	306	93
Apr 21 2020	8158	21	263	164
Apr 22 2020	8230	25	313	216
Apr 23 2020	8317	28	342	227
Apr 24 2020	8454	40	381	204
Apr 25 2020	8623	30	381	182
Apr 26 2020	8817	11	344	139
Apr 27 2020	8874	27	285	201
Apr 28 2020	8967	34	316	189
Apr 29 2020	8991	28	422	370
Apr 30 2020	8997	20	237	211
May 01 2020	8963	7	228	255
May 02 2020	8949	13	270	271
May 03 2020	9070	14	318	183
May 04 2020	9213	20	313	150
May 05 2020	9435	18	425	185
May 06 2020	9352	17	309	375
May 07 2020	9430	22	307	207
May 08 2020	9406	21	319	322
May 09 2020	9429	9	285	253
May 10 2020	9498	15	345	261
May 11 2020	9699	11	330	118
May 12 2020	9951	28	595	315
May 13 2020	9933	22	283	279
May 14 2020	10036	22	411	286
May 15 2020	10191	24	401	222
May 16 2020	10167	8	241	257
May 17 2020	10153	10	272	276
May 18 2020	10321	11	356	177
May 19 2020	10417	12	383	275
May 20 2020	10594	14	471	280
May 21 2020	10719	10	404	269
May 22 2020	10906	10	476	279
May 23 2020	10961	11	312	246
May 24 2020	11136	3	395	217
May 25 2020	11348	11	305	82
May 26 2020	11030	17	443	744
May 27 2020	11115	4	399	310
May 28 2020	11227	10	352	230
May 29 2020	11412	13	330	132
May 30 2020	11494	10	416	324
May 31 2020	11451	3	215	255
Jun 01 2020	11642	10	379	178
Jun 02 2020	11577	18	230	277
Jun 03 2020	11558	23	292	288
Jun 04 2020	11704	2	361	213
Jun 05 2020	11863	20	362	183
Jun 06 2020	12192	16	576	231
Jun 07 2020	12549	4	575	214
Jun 08 2020	12996	9	599	143
Jun 09 2020	13181	17	400	198
Jun 10 2020	13225	23	282	215
Jun 11 2020	13290	9	359	285
Jun 12 2020	13550	7	376	109
Jun 13 2020	13676	15	440	299
Jun 14 2020	13919	10	375	122
Jun 15 2020	14149	9	396	157
Jun 16 2020	14269	16	407	271
Jun 17 2020	14494	14	506	267
Jun 18 2020	14382	30	314	396
Jun 19 2020	14284	18	301	381
Jun 20 2020	14093	12	304	483
Jun 21 2020	13892	10	311	502
Jun 22 2020	13792	3	296	393
Jun 23 2020	13579	16	300	497
Jun 24 2020	13291	21	294	561
Jun 25 2020	13053	16	298	520
Jun 26 2020	12748	17	276	564
Jun 27 2020	12307	6	319	754
Jun 28 2020	11921	3	193	576
Jun 29 2020	11813	6	247	349
Jun 30 2020	11649	19	239	384
Jul 01 2020	11507	14	382	510
Jul 02 2020	11445	15	371	418
Jul 03 2020	11247	15	259	442
Jul 04 2020	11080	5	314	476
Jul 05 2020	10687	5	231	619
Jul 06 2020	10668	4	205	220
Jul 07 2020	10646	7	257	272
Jul 08 2020	10269	14	277	640
Jul 09 2020	9923	9	262	599
Jul 10 2020	9606	11	265	571
Jul 11 2020	9318	6	305	587
Jul 12 2020	9172	3	370	513
Jul 13 2020	9099	5	299	367
Jul 14 2020	9113	12	267	241
Jul 15 2020	8635	6	264	736
Jul 16 2020	8521	11	333	436
Jul 17 2020	8290	7	353	577
Jul 18 2020	8204	6	339	419
Jul 19 2020	8188	6	358	368
Jul 20 2020	8217	3	279	247
Jul 21 2020	8375	9	399	232
Jul 22 2020	8381	6	380	368
Jul 23 2020	8388	9	418	402
Jul 24 2020	8386	4	458	456
Jul 25 2020	8539	9	584	422
Jul 26 2020	8641	7	443	334
Jul 27 2020	8870	5	337	103
Jul 28 2020	9179	6	502	187
Jul 29 2020	9532	12	512	147
Jul 30 2020	9679	15	615	453
Jul 31 2020	9985	7	657	344
Aug 01 2020	10251	5	658	387
Aug 02 2020	10454	10	548	335
Aug 03 2020	10856	1	575	172
Aug 04 2020	11355	6	680	175
Aug 05 2020	11712	18	640	265
Aug 06 2020	12099	18	726	321
Aug 07 2020	12496	13	809	399
Aug 08 2020	12964	13	843	362
Aug 09 2020	13293	7	624	288
Aug 10 2020	13724	2	619	186
Aug 11 2020	13990	12	551	273
Aug 12 2020	14235	9	715	461
Aug 13 2020	14682	14	811	350
Aug 14 2020	15099	14	832	401
Aug 15 2020	15368	11	771	491
Aug 16 2020	15677	8	594	277
Aug 17 2020	16035	8	595	229
Aug 18 2020	16337	11	597	284
Aug 19 2020	16599	17	735	456
Aug 20 2020	16972	12	767	382
Aug 21 2020	17314	13	903	548
Aug 22 2020	17569	13	900	632
Aug 23 2020	17624	4	581	522
Aug 24 2020	17902	5	548	265
